SN,NAME,WINE,YR,REG,TP,RT,NUMR,PR,BD,ACD, RSG , AL , DN 
W6290-56160,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6830 , 11.1605 , 0.9965 
W7979-21740,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6817 , 12.1387 , 0.9950 
W4800-25808,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6803 , 10.7599 , 0.9972 
W2444-11580,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6795 , 11.6255 , 0.9956 
W7048-35278,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,NA,NA, 7.6789 , 11.7508 , 0.9961 
W5810-51591,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6782 , 11.6344 , 0.9967 
W8351-25955,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6744 , 11.6309 , 0.9963 
W7055-46141,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,NA,NA, 7.6736 , 11.6138 , 0.9958 
W4179-30129,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6724 , 12.1592 , 0.9960 
W4666-52033,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6720 , 11.0665 , 0.9970 
W8014-22380,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6714 , 11.1284 , 0.9960 
W7304-41763,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6694 , 12.3375 , 0.9939 
W3158-79672,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6680 , 12.5830 , 0.9948 
W7803-28669,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6670 , 11.8442 , 0.9951 
W9949-77449,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6653 , 11.7432 , 0.9958 
W5006-86402,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6652 , 11.3570 , 0.9962 
W4749-66469,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6648 , 11.1557 , 0.9954 
W5122-34884,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6645 , 11.4242 , 0.9968 
W1951-95971,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6622 , 11.7623 , 0.9959 
W6747-16979,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6618 , 11.6044 , 0.9951 
W1218-23695,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6541 , 11.1263 , 0.9963 
W9210-29092,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6527 , 11.3962 , 0.9960 
W9164-53620,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6509 , 10.7107 , 0.9975 
W8857-55689,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,NA,NA, 7.6506 , 11.3288 , 0.9959 
W3489-25378,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6504 , 11.4838 , 0.9961 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,NA,NA, 7.6485 , 11.4748 , 0.9968 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6426 , 11.5721 , 0.9957 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6409 , 11.5776 , 0.9951 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6406 , 11.0722 , 0.9964 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6400 , 11.6378 , 0.9957 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6391 , 11.3191 , 0.9963 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6390 , 11.5229 , 0.9959 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6386 , 11.8982 , 0.9957 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6381 , 11.6263 , 0.9958 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6372 , 11.9707 , 0.9954 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6368 , 11.8516 , 0.9954 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6345 , 12.7040 , 0.9938 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,NA,NA, 7.6333 , 11.6684 , 0.9961 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6312 , 11.8260 , 0.9953 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6305 , 11.6718 , 0.9955 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6296 , 11.2229 , 0.9965 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6241 , 12.0773 , 0.9951 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,NA,NA, 7.6239 , 11.9107 , 0.9956 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6234 , 11.5969 , 0.9961 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6201 , 11.1363 , 0.9959 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6189 , 11.1630 , 0.9959 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6173 , 11.6424 , 0.9959 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,NA,NA, 7.6164 , 11.2348 , 0.9966 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,NA,NA, 7.6160 , 10.9159 , 0.9957 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6142 , 11.3149 , 0.9960 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6119 , 11.1667 , 0.9973 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6117 , 12.2039 , 0.9946 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6116 , 11.1232 , 0.9964 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6111 , 12.2502 , 0.9949 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,NA,NA, 7.6106 , 12.3929 , 0.9954 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6100 , 11.5585 , 0.9950 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6090 , 11.1240 , 0.9965 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6088 , 11.7288 , 0.9955 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6077 , 11.3419 , 0.9962 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6068 , 12.1276 , 0.9952 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6063 , 11.3448 , 0.9960 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6052 , 11.0367 , 0.9972 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,NA,NA, 7.6024 , 11.2511 , 0.9970 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.6015 , 11.5902 , 0.9961 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5999 , 10.7181 , 0.9970 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5996 , 12.0824 , 0.9955 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5993 , 11.4170 , 0.9975 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5959 , 12.5573 , 0.9949 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5940 , 11.1896 , 0.9963 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5931 , 11.4002 , 0.9956 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5914 , 11.6125 , 0.9957 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5910 , 12.0144 , 0.9952 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5910 , 11.6467 , 0.9952 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5899 , 11.2212 , 0.9962 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5897 , 12.6065 , 0.9941 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5884 , 10.7864 , 0.9966 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5875 , 11.6717 , 0.9966 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5874 , 11.8845 , 0.9957 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5861 , 11.5314 , 0.9962 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5849 , 11.5397 , 0.9962 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5795 , 11.9010 , 0.9957 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5795 , 11.9535 , 0.9963 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5782 , 11.5823 , 0.9963 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5777 , 12.0914 , 0.9953 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5772 , 11.8024 , 0.9953 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5754 , 11.2230 , 0.9969 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5751 , 12.0641 , 0.9941 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5736 , 11.5217 , 0.9962 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5726 , 11.5630 , 0.9961 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,NA,NA, 7.5715 , 11.5226 , 0.9957 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5706 , 12.3628 , 0.9944 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5704 , 12.0759 , 0.9952 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5699 , 10.5538 , 0.9975 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5698 , 11.2806 , 0.9958 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5693 , 11.5394 , 0.9954 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5690 , 11.6670 , 0.9956 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5682 , 10.9974 , 0.9971 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5677 , 11.1101 , 0.9964 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5648 , 10.8583 , 0.9970 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5631 , 10.9390 , 0.9966 
W2853-52742,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5628 , 12.4363 , 0.9949 
W8794-13059,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5613 , 11.3431 , 0.9954 
W4198-84129,Portal del Priorat,Clos del Portal Somni,2014,Priorato,Priorat Red,4.32,404,77.36,4,3, 7.5608 , 12.0386 , 0.9941 
W2753-11808,Portal del Priorat,Clos del Portal Somni,2016,Priorato,Priorat Red,4.15,98,,4,3, 9.1731 , 11.8406 , 0.9950 
W3904-55488,Portal del Priorat,Clos del Portal Tros de Clos,2016,Priorato,Priorat Red,4.29,109,56.95,4,3, 8.4318 , 12.3243 , 0.9952 
W8618-43657,Portia,Summa Edicion Limitada,2015,Ribera del Duero,Ribera Del Duero Red,4.34,56,89.97,5,3, 7.4403 , 11.9688 , 0.9960 
W1900-44707,Pradorey,Adaro,2017,Ribera del Duero,Ribera Del Duero Red,4,436,16.45,5,3, 11.3804 , 10.9937 , 0.9966 
W6321-66368,Pradorey,El Cuentista,2018,Ribera del Duero,NA,4.01,57,17.9,NA,NA, 10.7484 , 10.2729 , 0.9966 
W4625-12391,Pradorey,Elite,2017,Ribera del Duero,Ribera Del Duero Red,4.17,301,35.51,NA,NA, 9.1266 , 10.4558 , 0.9968 
W8103-31298,Pradorey,Elite,2018,Ribera del Duero,Ribera Del Duero Red,4.13,145,30.91666667,5,3, 9.3197 , 11.5486 , 0.9960 
W7109-62851,Protos,27 Ribera del Duero,2016,Ribera del Duero,Ribera Del Duero Red,4.03,3725,21,5,3, 10.1518 , 11.7683 , 0.9946 
W3263-12759,Protos,27 Ribera del Duero,2017,Ribera del Duero,Ribera Del Duero Red,4.06,3545,23.75,5,3, 9.9863 , 11.7436 , 0.9960 
W5163-91010,Protos,27 Ribera del Duero,2018,Ribera del Duero,Ribera Del Duero Red,4.06,1981,23.74,5,3, 9.9866 , 10.7014 , 0.9972 
W4581-21404,Protos,Gran Reserva,2012,Ribera del Duero,Ribera Del Duero Red,4.19,1921,38.84,5,3, 8.9751 , 11.5466 , 0.9960 
W3857-59662,Protos,Gran Reserva,2014,Ribera del Duero,Ribera Del Duero Red,4.21,553,41.95,5,3, 8.9411 , 10.8935 , 0.9965 
W6564-21998,Protos,Reserva 5 Ano,2014,Ribera del Duero,Ribera Del Duero Red,4.02,855,19.53,5,3, 10.4177 , 11.3252 , 0.9958 
W6912-88630,Protos,Reserva 5 Ano,2015,Ribera del Duero,Ribera Del Duero Red,4.05,1040,22.95,5,3, 10.1211 , 10.5154 , 0.9962 
W5309-70750,Protos,Seleccion Finca el Grajo Viejo,2010,Ribera del Duero,Ribera Del Duero Red,4.31,427,62.74,5,3, 8.2292 , 11.1472 , 0.9963 
W9311-71319,Protos,Seleccion Finca el Grajo Viejo,2014,Ribera del Duero,Ribera Del Duero Red,4.3,530,59.87,5,3, 8.4032 , 11.8412 , 0.9952 
W7565-26086,Protos,Seleccion Finca el Grajo Viejo,2016,Ribera del Duero,Ribera Del Duero Red,4.3,162,59.95,5,3, 8.3947 , 12.0427 , 0.9944 
W1758-51691,Protos,Seleccion Finca el Grajo Viejo,2017,Ribera del Duero,Ribera Del Duero Red,4.3,65,59.9,5,3, 8.3999 , 11.2788 , 0.9959 
W7099-34848,Proyecto Garnachas de Espana,El Garnacho Viejo de la Familia Acha,2014,Rioja,Rioja Red,4.33,45,79.9,4,3, 7.5404 , 10.8591 , 0.9958 
W6465-34748,Pujanza,Rioja,2005,Rioja,Rioja Red,4.11,34,29,4,3, 9.3700 , 10.9369 , 0.9960 
W3449-14352,Pujanza,Rioja Anadas Frias,2016,Rioja,Rioja White,4.32,49,75,3,3, 7.8066 , 11.0788 , 0.9959 
W8479-51995,Pujanza,Rioja Cisma,2009,Rioja,Rioja Red,4.38,34,132.4,4,3, 7.1898 , 11.3377 , 0.9956 
W4458-30929,Pujanza,Rioja Cisma,2012,Rioja,Rioja Red,4.38,37,130.5,4,3, 7.1937 , 11.6425 , 0.9954 
W6325-30348,Pujanza,Rioja Cisma,2014,Rioja,Rioja Red,4.39,50,140,4,3, 7.1629 , 11.2012 , 0.9955 
W6586-75326,Pujanza,Rioja Norte,2006,Rioja,Rioja Red,4.32,67,75,4,3, 7.8105 , 11.8431 , 0.9953 
W8801-57298,Pujanza,Rioja Norte,2010,Rioja,Rioja Red,4.32,138,75,4,3, 7.8147 , 12.1623 , 0.9954 
W4100-99928,Pujanza,Rioja Norte,2011,Rioja,Rioja Red,4.24,106,46.9,4,3, 8.7958 , 11.7660 , 0.9957 
W2003-79337,Quinta de la Quietud,La Mula de la Quietud,2015,Toro,Toro Red,4.31,256,63.75,5,3, 8.2235 , 12.3606 , 0.9947 
W6781-33178,Quinta de la Quietud,La Mula de la Quietud,2016,Toro,Toro Red,4.3,99,62,5,3, 8.2359 , 11.2583 , 0.9966 
W5945-93269,Quinta Sardonia,QS,2007,Castilla y Leon,Red,4.18,707,37.5,4,3, 9.0992 , 11.7185 , 0.9952 
W1051-76379,Quinta Sardonia,QS,2010,Castilla y Leon,Red,4.21,900,40.76,4,3, 8.9484 , 11.8020 , 0.9956 
W4734-65716,Quinta Sardonia,QS,2014,Castilla y Leon,Red,4.17,358,35.85,4,3, 9.1232 , 12.4835 , 0.9946 
W3888-26665,Quinta Sardonia,QS,2017,Castilla y Leon,Red,4.18,93,37.49,4,3, 9.1021 , 11.1110 , 0.9961 
W3116-29662,R. Lopez de Heredia,Gran Reserva Rosado,2011,Rioja Alta,NA,4.26,206,49.95,NA,NA, 8.6401 , 12.0673 , 0.9956 
W1668-48761,R. Lopez de Heredia,Vina Bosconia Reserva,2007,Rioja Alta,Rioja Red,4.03,2820,20.95,4,3, 10.1543 , 10.8232 , 0.9966 
W4586-25863,R. Lopez de Heredia,Vina Bosconia Reserva,2008,Rioja Alta,Rioja Red,4.05,2901,22.58,4,3, 10.1219 , 10.1146 , 0.9976 
W7842-73658,R. Lopez de Heredia,Vina Bosconia Reserva,2009,Rioja Alta,Rioja Red,4.06,1611,23.52,4,3, 9.9869 , 11.2509 , 0.9963 
W1015-96613,R. Lopez de Heredia,Vina Tondonia Gran Reserva,1981,Rioja,Rioja Red,4.45,66,199,4,3, 6.8628 , 11.7186 , 0.9959 
W2066-50348,R. Lopez de Heredia,Vina Tondonia Gran Reserva,1995,Rioja,Rioja Red,4.42,292,170,4,3, 7.0066 , 11.2812 , 0.9961 
W6809-32462,R. Lopez de Heredia,Vina Tondonia Gran Reserva,2001,Rioja,Rioja Red,4.44,33,187.91,4,3, 6.9492 , 12.5849 , 0.9933 
W6451-80392,R. Lopez de Heredia,Vina Tondonia Gran Reserva Blanco,1981,Rioja Alta,Rioja White,4.53,78,274.95,3,3, 6.6298 , 12.2525 , 0.9962 
W3936-53493,R. Lopez de Heredia,Vina Tondonia Reserva,1964,Rioja,Rioja Red,4.5,101,249,4,3, 6.7000 , 11.5836 , 0.9963 
W7702-71052,R. Lopez de Heredia,Vina Tondonia Reserva,2008,Rioja,Rioja Red,4.19,6521,37.9,4,3, 9.0929 , 10.7421 , 0.9964 
W3127-89905,R. Lopez de Heredia,Vina Tondonia Reserva,2009,Rioja,Rioja Red,4.16,2423,35.09,NA,NA, 9.1328 , 11.5883 , 0.9957 
W3099-32349,R. Lopez de Heredia,Vina Tondonia Reserva,2014,Rioja,Rioja Red,4.25,35,47.95,4,3, 8.7878 , 10.7729 , 0.9966 
W2454-32994,R. Lopez de Heredia,Vina Tondonia Reserva Blanco,2005,Rioja Alta,Rioja White,4.09,1043,26.9,3,3, 9.7175 , 11.9758 , 0.9964 
W5028-36775,Rafael Palacios,As Sortes Val do Bibei Godello,2018,Valdeorras,NA,4.29,412,55.71,NA,NA, 8.4455 , 11.3649 , 0.9967 
W5893-27104,Rafael Palacios,As Sortes Val do Bibei Godello,2019,Valdeorras,NA,4.24,333,46.5,NA,NA, 8.7984 , 11.2782 , 0.9957 
W5407-28583,Rafael Palacios,As Sortes Val do Bibei Godello,2020,Valdeorras,NA,4.28,115,55,NA,NA, 8.4569 , 11.4625 , 0.9952 
W9340-10572,Rafael Palacios,Louro Godello,2019,Valdeorras,NA,4.02,2685,19.7,NA,NA, 10.4169 , 10.8273 , 0.9966 
W5558-81863,Rafael Palacios,Sorte O Soro Val do Bibei,2019,Valdeorras,NA,4.45,37,194.86,NA,NA, 6.9017 , 12.2874 , 0.9950 
W1595-81472,Ramon Bilbao,Lalomba Finca Ladero,2016,Rioja,Rioja Red,4.3,40,58.25,4,3, 8.4172 , 11.1879 , 0.9962 
W4466-33469,Ramon Bilbao,Lalomba Finca Valhonta,2017,Rioja,Rioja Red,4.29,61,56.75,4,3, 8.4360 , 10.8158 , 0.9969 
W6961-14501,Ramon Bilbao,Mirto,2011,Rioja,Rioja Red,4.1,402,28.53,NA,NA, 9.4836 , 10.9025 , 0.9957 
W3808-48226,Ramon Bilbao,Mirto,2011,Rioja,Rioja Red,4.1,402,28.53,4,3, 9.4823 , 11.4132 , 0.9960 
W5368-12451,Ramon Bilbao,Mirto,2011,Rioja,Rioja Red,4.1,402,28.53,4,3, 9.4809 , 11.2958 , 0.9960 
W8166-33831,Ramon Bilbao,Mirto,2011,Rioja,Rioja Red,4.1,402,28.53,4,3, 9.4808 , 10.9104 , 0.9957 
W2388-55467,Ramon Bilbao,Mirto,2011,Rioja,Rioja Red,4.1,402,28.53,4,3, 9.4801 , 11.8749 , 0.9951 
W3534-14629,Ramon Bilbao,Mirto,2011,Rioja,Rioja Red,4.1,402,28.53,4,3, 9.4796 , 11.2072 , 0.9966 
W2826-67897,Ramon Bilbao,Mirto,2011,Rioja,Rioja Red,4.1,402,28.53,4,3, 9.4790 , 11.3102 , 0.9965 
W7620-48235,Ramon Bilbao,Mirto,2011,Rioja,Rioja Red,4.1,402,28.53,4,3, 9.4789 , 11.7214 , 0.9953 
W9241-98587,Ramon Bilbao,Mirto,2011,Rioja,Rioja Red,4.1,402,28.53,4,3, 9.4781 , 11.5488 , 0.9958 
W6020-52625,Ramon Bilbao,Mirto,2011,Rioja,Rioja Red,4.1,402,28.53,4,3, 9.4781 , 11.7004 , 0.9949 
W2205-22172,Ramon Bilbao,Mirto,2011,Rioja,Rioja Red,4.1,402,28.53,4,3, 9.4781 , 11.1192 , 0.9968 
W3234-34770,Ramon Bilbao,Mirto,2011,Rioja,Rioja Red,4.1,402,28.53,4,3, 9.4780 , 11.7620 , 0.9963 
W9331-54951,Ramon Bilbao,Mirto,2011,Rioja,Rioja Red,4.1,402,28.53,4,3, 9.4773 , 11.5159 , 0.9953 
W7713-72556,Ramon Bilbao,Mirto,2011,Rioja,Rioja Red,4.1,402,28.53,4,3, 9.4769 , 11.6855 , 0.9953 
W6099-38373,Ramon Bilbao,Mirto,2011,Rioja,Rioja Red,4.1,402,28.53,4,3, 9.4749 , 11.1936 , 0.9966 
W6643-54847,Ramon Bilbao,Mirto,2011,Rioja,Rioja Red,4.1,402,28.53,4,3, 9.4745 , 10.7410 , 0.9979 
W8540-22065,Ramon Bilbao,Mirto,2011,Rioja,Rioja Red,4.1,402,28.53,4,3, 9.4745 , 11.1285 , 0.9961 
W9474-27579,Ramon Bilbao,Mirto,2011,Rioja,Rioja Red,4.1,402,28.53,4,3, 9.4742 , 11.3200 , 0.9959 
W5241-51056,Ramon Bilbao,Mirto,2011,Rioja,Rioja Red,4.1,402,28.53,4,3, 9.4741 , 11.3311 , 0.9962 
W5683-72467,Ramon Bilbao,Mirto,2011,Rioja,Rioja Red,4.1,402,28.53,4,3, 9.4738 , 11.7524 , 0.9954 
W9779-22353,Ramon Bilbao,Mirto,2011,Rioja,Rioja Red,4.1,402,28.53,4,3, 9.4736 , 11.0951 , 0.9966 
W2682-13467,Ramon Bilbao,Mirto,2011,Rioja,Rioja Red,4.1,402,28.53,4,3, 9.4727 , 11.4745 , 0.9959 
W5634-15070,Ramon Bilbao,Mirto,2011,Rioja,Rioja Red,4.1,402,28.53,4,3, 9.4722 , 11.6137 , 0.9964 
W9633-86554,Ramon Bilbao,Mirto,2011,Rioja,Rioja Red,4.1,402,28.53,4,3, 9.4720 , 11.3890 , 0.9963 
